STATIONID,STATIONCNNAME,STATIONENABBRNAME,STATIONTYPE,VIRTUALFLAG,ENABLEFLAG,ROWFLAG,CREATIONTIME,STATIONCNABBRNAME,lng,lat,lng_lat
102,武定门,WUDINGMEN,0,0,1,1,41737.57271,WDM,118.801055 ,32.020070 ,"118.801055,32.02007"
103,雨花门,YUHUAMEN,0,0,1,1,41737.57271,YHM,118.798687 ,32.010262 ,"118.798687,32.010262"
104,卡子门,KAZIMEN,0,0,1,1,41737.57271,KZM,118.801886 ,32.001929 ,"118.801886,32.001929"
105,大明路,DAMINGLU,0,0,1,1,41737.57271,DML,118.806440 ,31.992419 ,"118.80644,31.992419"
106,明发广场,MINGFAGUANGCHANG,0,0,1,1,41998.60516,MFGC,118.806952 ,31.983521 ,"118.806952,31.983521"
107,宏运大道,HONGYUNDADAO,0,0,1,1,41737.57271,HYDD,118.810187 ,31.965824 ,"118.810187,31.965824"
108,胜太西路,SHENGTAIXILU,0,0,1,1,41737.57271,STXL,118.813803 ,31.950348 ,"118.813803,31.950348"
109,天元西路,TIANYUANXILU,0,0,1,1,41737.57271,TYXL,118.814959 ,31.934598 ,"118.814959,31.934598"
110,九龙湖,JIULONGHU,0,0,1,1,41737.57271,JLH,118.827214 ,31.922011 ,"118.827214,31.922011"
111,诚信大道,CHENGXINDADAO,0,0,1,1,41737.57271,CXDD,118.836362 ,31.914045 ,"118.836362,31.914045"
112,东大九龙湖校区,SEU JIULONGHU CAMPUS,0,0,1,1,41737.57271,DDJLHXQ,118.837039 ,31.902058 ,"118.837039,31.902058"
113,秣周东路,MOZHOUDONGLU,0,0,1,1,41737.57271,MZDL,118.837793 ,31.875925 ,"118.837793,31.875925"
114,龙江,LONGJIANG,0,0,1,1,42563.69771,LJ,118.746385 ,32.063690 ,"118.746385,32.06369"
115,南艺二师草场门,NUA JSSNU CAOCHANGMEN,0,0,1,1,42563.69771,NYESCCM,118.762393 ,32.066220 ,"118.762393,32.06622"
116,云南路,YUNNANLU,0,0,1,1,42563.69771,YNL,118.781166 ,32.065189 ,"118.781166,32.065189"
117,九华山,JIUHUASHAN,0,0,1,1,42563.69771,JHS,118.812338 ,32.063688 ,"118.812338,32.063688"
118,岗子村,GANGZICUN,0,0,1,1,42563.69771,GZC,118.822102 ,32.071958 ,"118.822102,32.071958"
119,蒋王庙,JIANGWANGMIAO,0,0,1,1,42563.69771,JWM,118.837644 ,32.083553 ,"118.837644,32.083553"
120,王家湾,WANGJIAWAN,0,0,1,1,42563.69771,WJW,118.844520 ,32.091105 ,"118.84452,32.091105"
121,聚宝山,JUBAOSHAN,0,0,1,1,42563.69771,JBS,118.871195 ,32.099163 ,"118.871195,32.099163"
122,苏宁总部徐庄,SUNING HQ XUZHUANG,0,0,1,1,42563.69771,SNZBXZ,118.895646 ,32.090637 ,"118.895646,32.090637"
123,汇通路,HUITONGLU,0,0,1,1,42563.69771,HTL,118.937907 ,32.084360 ,"118.937907,32.08436"
124,灵山,LINGSHAN,0,0,1,1,42563.69771,LS,118.950408 ,32.083714 ,"118.950408,32.083714"
125,东流,DONGLIU,0,0,1,1,42563.69771,DL,118.971221 ,32.082950 ,"118.971221,32.08295"
126,孟北,MENGBEI,0,0,1,1,42563.69771,MB,118.994038 ,32.090000 ,"118.994038,32.09"
127,西岗桦墅,XIGANGHUASHU,0,0,1,1,42563.69771,XGHS,119.003201 ,32.104645 ,"119.003201,32.104645"
128,仙林湖,XIANLINHU,0,0,1,1,42563.69771,XLH,118.999339 ,32.131236 ,"118.999339,32.131236"
